timestamp,Ct,prediction,anomalyScore,anomaly_likelihood
2017-01-06 06:00:00,3441.0,3827.0,0.0,0.5
2017-01-06 08:00:00,3573.0,7019.0,0.025,0.5
2017-01-06 10:00:00,6530.0,9681.0,0.025,0.5
2017-01-06 12:00:00,9032.0,19535.0,0.45,0.5
2017-01-06 14:00:00,17536.0,16218.0,0.1,0.5
2017-01-06 16:00:00,14628.0,16980.0,0.45,0.5
2017-01-06 18:00:00,15170.0,7706.0,0.975,0.5
2017-01-06 20:00:00,12687.0,9504.0,0.95,0.5
2017-01-06 22:00:00,6623.0,6065.808999999999,0.725,0.5
2017-01-07 00:00:00,6622.0,6065.808999999999,0.0,0.5
2017-01-07 02:00:00,6281.0,6689.83,0.0,0.5
2017-01-07 04:00:00,5420.0,3396.619999999999,0.0,0.5
2017-01-07 06:00:00,3619.0,3534.4159999999993,0.0,0.5
2017-01-07 08:00:00,3494.0,6530.0,0.0,0.5
2017-01-07 10:00:00,6312.0,9085.199999999999,0.1,0.5
2017-01-07 12:00:00,6145.0,9085.199999999999,0.075,0.5
2017-01-07 14:00:00,7219.0,6240.2,0.225,0.5
2017-01-07 16:00:00,6069.0,7219.0,0.65,0.5
2017-01-07 18:00:00,5591.0,5427.613185999999,0.1,0.5
2017-01-07 20:00:00,5945.0,5427.613185999999,0.125,0.5
2017-01-07 22:00:00,4652.0,5427.613185999999,0.05,0.5
2017-01-08 00:00:00,5312.0,4652.0,0.075,0.5
2017-01-08 02:00:00,5154.0,5298.457673999999,0.0,0.5
2017-01-08 04:00:00,5292.0,5115.5,0.025,0.5
2017-01-08 06:00:00,3041.0,3522.2911999999997,0.05,0.5
2017-01-08 08:00:00,3030.0,3522.2911999999997,0.0,0.5
2017-01-08 10:00:00,5352.0,3037.21,0.35,0.5
2017-01-08 12:00:00,5489.0,4652.0,0.35,0.5
2017-01-08 14:00:00,5318.0,5313.164260259999,0.0,0.5
2017-01-08 16:00:00,4464.0,5314.614982181999,0.125,0.5
2017-01-08 18:00:00,5440.0,5909.467243999999,0.0,0.5
2017-01-08 20:00:00,5592.0,5444.220461139999,0.0,0.5
2017-01-08 22:00:00,4310.0,5314.614982181999,0.1,0.5
2017-01-09 00:00:00,5618.0,4291.66,0.075,0.5
2017-01-09 02:00:00,5184.0,5601.333699999999,0.0,0.5
2017-01-09 04:00:00,5059.0,3037.21,0.0,0.5
2017-01-09 06:00:00,3320.0,3320.0,0.0,0.5
2017-01-09 08:00:00,3416.0,3416.0,0.475,0.5
2017-01-09 10:00:00,6279.0,3386.3437999999987,0.075,0.5
2017-01-09 12:00:00,9351.0,17595.079999999998,0.625,0.5
2017-01-09 14:00:00,20519.0,5601.333699999999,0.525,0.5
2017-01-09 16:00:00,18745.0,14628.0,0.95,0.5
2017-01-09 18:00:00,20488.0,18745.0,0.825,0.5
2017-01-09 20:00:00,16717.0,14247.0,1.0,0.5
2017-01-09 22:00:00,9403.0,6066.766299999999,0.975,0.5
2017-01-10 00:00:00,7876.0,9366.6,0.7,0.5
2017-01-10 02:00:00,7640.0,7825.5999999999985,0.175,0.5
2017-01-10 04:00:00,6917.0,6917.0,0.025,0.5
2017-01-10 06:00:00,4121.0,3037.21,0.375,0.5
2017-01-10 08:00:00,4245.0,4245.0,0.125,0.5
2017-01-10 10:00:00,7991.0,6066.766299999999,0.45,0.5
2017-01-10 12:00:00,11073.0,20519.0,0.95,0.5
2017-01-10 14:00:00,22092.0,18745.0,0.925,0.5
2017-01-10 16:00:00,18226.0,20488.0,1.0,0.5
2017-01-10 18:00:00,19440.0,16717.0,0.325,0.5
2017-01-10 20:00:00,16019.0,9366.6,0.625,0.5
