timestamp,Ct,prediction,anomalyScore
2007-04-03 00:00:00,0.821,0.822,0.73980530803017763
2007-04-04 00:00:00,0.822,0.83,0.8780141937258843
2007-04-05 00:00:00,0.826,0.819,0.77469083737070565
2007-04-06 00:00:00,0.825,0.912,0.49871579319793041
2007-04-07 00:00:00,0.891,0.808,0.48452852074564084
2007-04-08 00:00:00,0.704,0.808,0.7310430434547498
2007-04-09 00:00:00,0.82,0.816,1.7587962397779835
2007-04-10 00:00:00,0.794,0.822,1.7386770450201248
2007-04-11 00:00:00,0.824,0.816,0.84448712249119007
2007-04-12 00:00:00,0.805,0.822,0.54155889347424602
2007-04-13 00:00:00,0.82,0.816,0.42452139643058701
2007-04-14 00:00:00,0.889,0.737,0.37575631345604615
2007-04-15 00:00:00,0.929,0.825,0.51475941176622964
2007-04-16 00:00:00,0.766,0.822,1.6625563596731534
2007-04-17 00:00:00,0.804,0.822,1.0281211127466696
2007-04-18 00:00:00,0.831,0.83,1.4842336756278245
2007-04-19 00:00:00,0.832,0.82,1.1951824912089082
2007-04-20 00:00:00,0.81,0.873,0.37505621443712417
2007-04-21 00:00:00,0.888,0.927,0.53151296780822477
2007-04-22 00:00:00,1.0,0.79,0.54632727389019464
2007-04-23 00:00:00,0.812,0.822,1.2740990965853674
2007-04-24 00:00:00,0.813,0.822,0.90515647799174115
2007-04-25 00:00:00,0.82,0.83,1.8130608267516932
2007-04-26 00:00:00,0.837,0.82,0.92336100511441632
2007-04-27 00:00:00,0.799,0.816,0.39610955896042865
2007-04-28 00:00:00,0.853,0.927,0.53069282805476348
2007-04-29 00:00:00,0.9,0.822,0.58570145727785217
2007-04-30 00:00:00,0.825,0.822,2.0934951468840595
2007-05-01 00:00:00,0.825,0.822,1.3713095348903186
2007-05-02 00:00:00,0.82,0.816,0.53287240130332669
2007-05-03 00:00:00,0.834,0.83,1.1681456044374476
2007-05-04 00:00:00,0.82,0.912,0.58047961638643064
2007-05-05 00:00:00,0.859,0.924,0.49191952663561728
2007-05-06 00:00:00,0.894,0.825,0.8228368059325194
2007-05-07 00:00:00,0.829,0.816,3.2326921558820159
